node_1,node_2,num_occurrences
1,2,52
3,4,1539
3,5,3145
6,7,551
6,8,17
9,10,39
11,12,11
13,14,2
13,15,44
16,17,1
18,19,189
13,20,343
21,22,943
21,23,22
32,40,203
32,39,186
26,32,187
25,32,134
32,35,183
32,34,206
29,32,199
24,32,186
32,37,178
28,32,208
32,38,162
31,32,254
27,32,183
32,36,208
32,41,187
32,33,191
30,32,209
39,40,263
26,40,248
25,40,152
35,40,238
34,40,273
29,40,225
24,40,178
37,40,154
28,40,295
38,40,144
31,40,287
27,40,264
36,40,263
40,41,311
33,40,206
30,40,294
26,39,723
25,39,151
35,39,220
34,39,255
29,39,172
24,39,152
37,39,139
28,39,250
38,39,147
31,39,225
27,39,749
36,39,234
39,41,718
33,39,214
30,39,274
25,26,129
26,35,211
26,34,217
26,29,194
24,26,157
26,37,162
26,28,264
26,38,143
26,31,315
26,27,679
26,36,220
26,41,536
26,33,218
26,30,231
25,35,135
25,34,145
25,29,156
24,25,223
25,37,125
25,28,143
25,38,131
25,31,169
25,27,158
25,36,214
25,41,198
25,33,131
25,30,166
34,35,223
29,35,209
24,35,149
35,37,139
28,35,240
35,38,144
31,35,219
27,35,211
35,36,256
35,41,214
33,35,199
30,35,225
29,34,191
24,34,161
34,37,147
28,34,247
34,38,141
31,34,230
27,34,243
34,36,261
34,41,273
33,34,207
30,34,267
24,29,479
29,37,189
28,29,313
29,38,155
29,31,314
27,29,169
29,36,370
29,41,165
29,33,168
29,30,258
24,37,171
24,28,196
24,38,160
24,31,251
24,27,193
24,36,302
24,41,153
24,33,195
24,30,215
28,37,151
37,38,139
31,37,242
27,37,135
36,37,163
37,41,135
33,37,140
30,37,230
28,38,141
28,31,333
27,28,237
28,36,290
28,41,244
28,33,233
28,30,257
31,38,146
27,38,139
36,38,150
38,41,140
33,38,141
30,38,145
27,31,218
31,36,283
31,41,222
31,33,230
30,31,305
27,36,222
27,41,769
27,33,225
27,30,296
36,41,252
33,36,212
30,36,342
33,41,216
30,41,461
30,33,212
42,43,103
44,45,25
46,47,257
48,49,1101
50,51,1689
42,52,298
53,54,22
55,60,197
55,58,81
55,56,316
55,59,211
55,57,206
58,60,118
56,60,126
59,60,267
57,60,330
56,58,78
58,59,161
57,58,197
56,59,147
56,57,124
57,59,259
61,62,26
63,64,24
65,66,2
5,63,59
67,68,4878
69,70,148
71,72,194
22,73,5
74,75,432
76,77,558
49,77,764
49,76,637
78,79,45
78,80,52
69,81,43
81,82,250
69,82,31
20,63,13
83,84,282
22,23,599
83,85,285
43,86,33
43,87,15
43,88,40
42,86,183
42,87,30
42,88,116
86,87,31
86,88,54
87,88,20
83,87,85
89,90,311
91,92,97
21,93,193
43,95,11
43,94,1
43,96,7
43,52,7
42,95,247
42,94,18
42,96,229
86,95,12
86,94,1
86,96,9
52,86,11
94,95,5
95,96,407
52,95,354
88,95,14
94,96,21
52,94,110
88,94,1
52,96,365
88,96,8
52,88,9
89,97,129
90,97,398
100,102,92
98,100,123
100,101,107
99,100,186
100,103,1
98,102,97
101,102,119
99,102,92
102,103,4
98,101,118
98,99,168
98,103,107
99,101,120
101,103,3
99,103,9
104,105,242
83,106,360
84,106,104
85,106,67
84,85,273
91,107,1
63,108,609
67,112,32
67,109,138
67,113,45
67,110,18
67,111,21
109,112,68
112,113,37
110,112,22
111,112,35
109,113,168
109,110,80
109,111,36
110,113,28
111,113,16
110,111,8
114,115,1291
116,117,861
118,119,183
77,120,83
18,121,41
83,122,562
87,122,80
106,122,114
84,122,191
85,122,257
87,106,22
84,87,125
85,87,33
123,124,306
125,126,57
14,127,2
128,130,1
128,131,1
128,129,1
130,131,30
129,130,181
129,131,5
132,133,392
19,134,35
7,135,23
63,116,18
136,137,437
138,139,73
140,141,187
142,143,1
52,144,25
134,144,17
52,134,68
145,146,4
147,148,1
149,150,133
104,151,44
50,85,1318
29,152,6
153,154,3
155,156,77
157,158,5
16,140,61
159,160,496
4,5,790
161,162,13
50,163,239
72,163,280
51,163,230
85,163,579
50,72,713
51,72,707
72,85,860
51,85,1088
73,164,45
140,165,107
166,167,8
168,169,66
116,170,1223
170,171,1065
116,171,1120
41,172,67
124,173,124
104,173,4
62,173,118
104,124,1
62,124,246
62,104,82
25,97,15
22,174,117
175,176,35
177,178,482
178,179,585
177,179,626
123,180,98
131,181,87
182,183,2
130,184,995
180,182,37
53,186,49
71,187,24
107,188,470
138,175,56
138,176,9
189,190,18
109,191,8
158,192,96
194,195,129
193,194,26
3,194,521
194,196,115
193,195,88
3,195,631
195,196,426
3,193,355
193,196,74
3,196,928
200,206,311
200,204,361
96,200,398
197,200,374
200,203,260
200,208,368
42,200,238
200,207,360
200,202,364
199,200,279
198,200,353
200,201,360
95,200,348
168,200,385
200,205,338
52,200,367
204,206,315
96,206,318
197,206,310
203,206,257
206,208,316
42,206,198
206,207,317
202,206,312
199,206,267
198,206,312
201,206,312
95,206,320
168,206,312
205,206,318
52,206,314
96,204,351
197,204,376
203,204,265
204,208,346
42,204,226
204,207,370
202,204,339
199,204,276
198,204,339
201,204,335
95,204,342
168,204,437
204,205,350
52,204,342
96,197,378
96,203,258
96,208,621
96,207,357
96,202,438
96,199,268
96,198,366
96,201,348
96,168,381
96,205,340
197,203,260
197,208,360
42,197,250
197,207,360
197,202,360
197,199,280
197,198,354
197,201,355
95,197,340
168,197,412
197,205,342
52,197,371
203,208,265
42,203,171
203,207,259
202,203,260
199,203,260
198,203,260
201,203,260
95,203,265
168,203,261
203,205,265
52,203,260
42,208,228
207,208,352
202,208,455
199,208,275
198,208,355
201,208,356
95,208,355
168,208,357
205,208,341
52,208,361
42,207,224
42,202,234
42,199,175
42,198,227
42,201,221
42,168,236
42,205,219
202,207,345
199,207,269
198,207,338
201,207,346
95,207,341
168,207,426
205,207,346
52,207,350
199,202,279
198,202,356
201,202,359
95,202,421
168,202,366
202,205,333
52,202,378
198,199,279
199,201,279
95,199,275
168,199,279
199,205,275
52,199,279
198,201,347
95,198,342
168,198,352
198,205,338
52,198,373
95,201,434
168,201,361
201,205,349
52,201,361
95,168,344
95,205,375
168,205,369
52,168,368
52,205,340
210,211,172
129,200,371
129,206,348
129,204,327
96,129,464
129,197,357
129,203,238
129,208,478
42,129,289
129,207,353
129,202,404
129,199,259
129,198,443
129,201,379
95,129,343
129,168,353
129,205,315
52,129,549
55,212,485
116,213,26
107,190,43
138,209,19
26,42,2
37,42,8
31,42,5
156,214,4
181,215,115
156,216,7
16,217,115
50,218,258
72,218,220
51,218,249
2,229,8
226,229,6
219,229,7
227,229,12
223,229,14
75,229,10
228,229,6
19,229,15
222,229,10
221,229,1
220,229,4
225,229,6
224,229,9
216,229,6
18,229,9
2,226,4
2,219,8
2,227,7
2,223,9
2,75,12
2,228,4
2,19,5
2,222,27
2,221,1
2,220,2
2,225,4
2,224,5
2,216,4
2,18,18
219,226,7
226,227,10
223,226,9
75,226,8
226,228,2
19,226,12
222,226,11
221,226,1
220,226,4
225,226,6
224,226,10
216,226,10
18,226,24
219,227,13
219,223,9
75,219,9
219,228,3
19,219,45
219,222,15
219,221,2
219,220,9
219,225,5
219,224,16
216,219,15
18,219,47
223,227,15
75,227,41
227,228,3
19,227,28
222,227,47
221,227,1
220,227,4
225,227,6
224,227,22
216,227,6
18,227,115
75,223,494
223,228,9
19,223,20
222,223,39
221,223,1
220,223,4
223,225,7
223,224,29
216,223,583
18,223,32
75,228,5
19,75,45
75,222,249
75,221,2
75,220,4
75,225,2
75,224,118
75,216,554
18,75,243
19,228,2
222,228,2
221,228,1
220,228,2
225,228,2
224,228,4
216,228,4
18,228,5
19,222,100
19,221,1
19,220,10
19,225,6
19,224,37
19,216,10
221,222,1
220,222,5
222,225,9
222,224,37
216,222,49
18,222,64
220,221,1
221,225,1
221,224,8
216,221,8
18,221,4
220,225,2
220,224,4
216,220,4
18,220,107
224,225,6
216,225,5
18,225,15
216,224,60
18,224,37
18,216,69
65,230,2
21,231,32
22,231,64
232,233,493
210,234,151
234,237,106
234,236,140
234,235,105
210,237,161
210,236,140
210,235,129
236,237,144
235,237,174
235,236,122
211,234,105
234,241,94
160,234,89
234,239,95
234,244,142
234,240,78
234,243,98
234,238,83
234,242,104
234,245,107
210,241,159
