node_1,node_2,Strength
1,107,7
1,122,6
1,129,4
114,132,216
47,114,138
5,114,278
55,114,314
61,132,65
33,112,132
33,45,67
33,53,52
37,48,78
37,50,19
37,85,41
37,89,14
30,44,1
55,104,151
55,132,306
25,55,258
47,55,448
5,55,189
55,61,64
3,56,5
58,115,3
6,70,145
8,12,13
8,140,11
8,23,42
85,135,15
1,63,43
104,132,13
111,137,7
112,123,1
20,112,61
53,112,50
68,112,49
106,113,34
109,113,61
114,137,20
87,114,353
116,125,168
20,116,946
43,116,5
57,116,158
54,117,5
61,117,8
63,117,25
86,123,18
1,125,20
104,125,17
108,125,46
17,125,16
20,125,980
23,125,48
4,125,14
41,125,13
44,125,214
51,125,13
57,125,151
61,125,7
63,125,24
86,136,114
136,137,17
137,143,19
2,137,37
54,137,54
87,137,2
90,137,25
54,143,34
90,143,50
15,128,1
15,43,18
18,109,40
19,70,2
2,40,45
2,72,76
2,95,72
20,108,228
24,108,25
24,118,5
24,43,16
24,64,6
25,114,4
37,135,113
39,145,48
39,70,64
1,41,59
41,51,84
41,61,16
41,63,34
5,132,48
5,143,24
5,87,167
46,52,48
27,53,35
53,68,80
25,54,60
54,90,107
2,55,35
55,87,205
55,95,32
56,115,29
24,57,8
6,111,15
6,65,288
6,74,6
61,128,19
41,65,103
65,70,37
65,71,26
65,97,47
27,68,96
45,68,95
70,133,3
70,145,13
62,70,3
70,80,5
40,72,24
73,144,24
77,115,105
61,77,23
8,118,7
8,141,24
8,61,96
1,85,17
11,85,19
85,117,25
50,85,10
58,85,14
78,85,22
86,142,138
25,90,79
86,90,91
95,128,11
99,100,27
11,99,15
1,112,4
1,133,14
1,29,22
1,51,44
1,62,10
1,65,27
1,97,12
34,106,10
107,120,5
51,107,3
84,107,3
63,111,14
27,112,34
45,112,60
113,131,48
34,113,30
61,116,10
63,116,16
23,118,18
51,120,4
106,121,6
42,121,6
67,121,3
7,13,40
106,131,6
109,131,26
127,131,4
130,131,14
18,131,19
4,131,15
42,131,28
84,131,16
132,147,31
136,142,114
39,136,2
41,137,3
71,137,8
40,139,2
61,140,43
122,142,1
29,142,1
41,142,5
71,142,13
97,142,4
15,104,11
15,132,9
17,52,48
17,57,32
2,63,151
15,24,6
24,33,10
25,143,2
26,103,3
14,32,1
7,32,2
17,33,68
27,33,10
33,68,4
37,59,17
40,75,27
40,95,30
41,112,7
41,122,8
41,133,22
29,41,66
4,41,13
41,62,86
41,84,8
41,97,83
45,46,11
52,56,4
52,57,4
52,63,12
55,147,28
56,138,16
56,76,2
20,57,107
57,64,24
1,61,4
61,129,6
61,136,33
2,61,20
21,61,12
38,61,7
61,74,2
61,79,4
61,85,16
61,93,7
62,107,6
62,112,3
62,122,1
62,133,12
62,137,2
29,62,1
51,62,2
62,65,27
62,97,7
63,115,22
63,118,4
12,63,44
63,140,53
23,63,112
24,63,1
46,63,1
57,63,11
61,63,123
63,64,6
63,76,1
63,77,6
65,112,24
7,102,24
