node_1,node_2,node_3,num_occurrences
18,19,20,35
44,45,46,9
14,15,43,4
9,10,11,1
39,40,71,1
51,52,95,8
39,40,109,1
25,26,93,2
39,40,93,4
41,42,85,3
26,39,93,1
28,29,86,1
32,33,61,4
33,61,114,3
7,8,37,2
7,8,76,3
7,66,76,16
41,85,92,2
41,85,91,2
25,26,71,3
25,26,109,2
66,92,108,3
66,85,92,2
85,92,108,1
66,85,108,2
8,61,94,1
3,42,47,8
32,33,114,11
85,86,101,2
85,101,107,2
25,71,93,1
25,40,93,1
32,33,115,6
80,81,103,13
102,103,131,4
66,85,129,1
17,92,107,1
28,85,101,48
27,74,149,1
71,80,81,46
9,25,71,1
71,80,167,2
74,75,149,2
8,66,108,1
49,59,60,1
8,48,108,1
74,75,169,1
57,77,84,1
59,60,195,1
126,177,188,30
176,178,206,8
176,178,209,27
11,70,133,2
12,13,106,2
4,8,108,1
178,206,209,4
61,78,79,1
184,199,202,2
23,126,177,1
23,107,126,1
23,177,188,1
5,104,230,1
159,199,202,1
159,202,205,1
184,202,205,1
6,89,112,1
31,176,209,17
57,163,175,3
31,178,209,9
58,163,186,3
31,176,178,8
31,176,206,1
14,15,135,4
141,202,205,12
45,229,243,1
58,132,186,1
78,79,221,2
58,132,163,2
84,161,191,69
30,84,161,1
175,181,206,1
57,175,181,1
78,161,179,1
30,84,191,1
58,84,191,1
57,58,84,3
141,205,258,8
159,184,199,4
172,202,205,15
28,85,92,4
3,42,101,1
141,172,202,8
141,202,258,3
10,70,133,3
11,122,235,14
10,37,133,9
3,28,101,1
141,258,265,14
172,202,265,6
141,202,265,13
202,205,258,11
205,258,265,22
202,258,265,3
202,205,265,22
141,205,265,10
3,76,101,2
7,8,107,1
28,76,85,18
7,28,85,3
3,42,76,1
22,187,274,1
95,158,168,3
53,75,275,1
126,170,174,51
73,126,170,1
2,22,155,2
2,21,22,3
21,22,155,49
268,269,276,3
3,48,92,1
73,170,196,7
52,93,270,8
55,56,135,4
