node_1,node_2,num_occurrences
2,5,92
1,2,217
8,11,6
11,12,24
6,7,18
9,10,52
6,8,15
3,4,26
15,16,13
13,14,8
2,17,27
1,17,74
5,17,51
20,21,10
18,19,56
20,22,15
6,11,17
25,26,49
23,24,24
29,30,491
25,31,89
27,28,83
42,47,11
32,34,40
32,33,70
33,34,118
39,40,168
45,46,127
43,44,48
34,35,47
41,42,32
19,31,99
36,37,8
23,38,122
32,48,204
33,48,39
27,33,128
54,55,339
35,50,39
36,50,28
32,49,11
16,56,107
15,56,160
19,25,61
25,57,141
27,34,11
27,49,35
36,51,7
52,53,344
34,49,16
33,49,25
34,48,56
32,61,238
48,61,166
60,62,41
59,60,19
59,62,21
61,62,101
58,60,28
58,59,39
20,63,17
13,68,27
65,66,213
21,22,2
47,70,103
43,69,193
35,37,36
50,64,179
32,37,97
37,48,68
13,67,4
51,60,71
36,61,30
36,62,16
53,54,14
16,72,84
37,64,7
36,64,21
28,37,34
4,71,25
27,32,41
37,50,147
51,62,22
28,35,96
29,73,91
59,64,18
36,59,236
39,74,67
35,36,19
48,49,2
36,75,249
8,12,12
63,76,37
59,61,91
8,22,5
73,77,6
28,62,141
34,64,2
61,64,19
3,80,96
10,81,121
41,65,20
78,79,28
54,74,9
21,87,5
82,83,19
82,84,26
82,85,8
55,86,245
88,89,30
7,8,5
95,96,8
88,91,2
58,82,4
88,90,7
92,93,19
94,95,12
48,100,37
92,98,4
98,99,92
97,98,152
2,80,22
101,102,76
8,21,8
6,21,4
12,63,3
83,103,59
97,104,101
86,105,68
94,110,2
94,96,4
54,108,93
105,108,87
29,109,14
30,109,33
107,112,74
106,107,23
73,111,107
61,100,7
77,113,231
7,114,51
114,117,13
6,114,17
39,112,26
39,107,5
74,112,193
61,91,2
115,116,131
95,117,7
86,108,283
22,110,167
118,119,24
120,121,317
110,122,33
10,124,493
10,121,14
10,125,81
38,123,52
124,125,98
126,128,15
24,128,12
24,126,18
129,130,317
126,127,8
24,127,7
54,132,309
81,135,33
20,96,176
133,134,48
134,137,40
133,135,6
136,137,27
24,131,12
133,140,272
123,138,61
141,142,211
23,139,196
118,148,9
121,129,18
81,147,136
131,143,60
136,146,202
38,144,32
138,144,37
38,138,71
120,145,160
128,149,72
29,113,12
127,149,63
52,54,27
24,144,242
131,150,86
11,21,51
21,152,13
126,151,53
127,150,60
121,124,116
128,131,34
128,143,32
81,124,114
154,155,130
78,153,166
52,154,390
47,69,46
52,86,53
124,157,511
40,74,54
143,156,15
107,132,13
141,158,38
120,136,600
73,105,45
111,113,8
105,106,40
52,74,55
52,112,17
77,108,3
77,105,14
22,152,34
105,113,38
40,52,20
44,47,23
44,69,10
109,132,23
107,109,49
128,156,35
55,108,91
131,156,17
45,65,38
54,86,50
81,157,88
143,144,43
79,91,9
126,138,54
73,86,115
30,111,14
13,160,1
24,151,7
131,144,30
93,131,2
58,75,79
74,107,23
90,159,9
78,91,7
35,83,2
24,138,198
99,104,77
40,73,10
79,103,126
79,100,20
75,85,4
32,83,36
32,85,52
83,85,46
58,85,20
159,161,160
90,161,3
90,99,16
36,90,1
30,106,16
34,82,43
33,82,47
27,82,3
164,165,16
166,167,63
35,64,27
83,88,4
84,91,160
50,161,6
34,60,74
60,82,11
9,129,93
60,92,1
79,97,15
118,163,16
73,113,23
88,161,4
149,162,77
27,92,2
59,89,6
136,147,64
14,170,51
29,111,18
29,105,68
127,131,15
58,83,1
73,74,36
14,169,14
112,132,34
33,103,59
35,48,108
32,84,1
37,92,9
103,168,9
32,93,3
91,93,22
120,147,36
140,147,157
28,100,4
67,68,8
34,85,3
85,103,21
128,151,20
32,58,39
58,84,10
169,173,17
52,111,29
106,132,3
33,84,16
36,172,52
32,79,21
50,171,120
36,100,5
27,100,29
167,175,190
68,72,27
32,60,24
33,60,21
126,143,54
46,65,90
60,85,2
118,166,79
72,174,5
58,93,1
55,111,114
78,83,83
173,176,131
27,79,5
108,111,21
39,105,27
33,85,6
8,95,41
33,93,1
114,116,63
109,113,15
103,171,23
36,103,4
3,177,18
72,169,16
142,158,51
42,44,10
77,109,1
168,172,5
27,83,17
28,83,5
168,178,1
93,168,4
93,178,1
79,168,75
40,86,54
34,171,7
60,91,28
92,103,60
19,41,49
74,105,23
54,111,107
106,109,10
129,145,273
93,103,23
92,171,71
93,171,41
105,107,22
30,73,32
79,82,42
9,121,13
9,81,38
9,147,42
79,178,27
40,105,10
52,105,20
62,153,60
15,179,30
121,157,196
128,162,39
151,156,13
45,47,19
55,106,18
150,151,11
54,106,6
54,105,24
121,130,68
140,146,241
58,91,51
55,105,73
76,87,53
126,162,4
126,156,109
148,179,134
143,180,38
44,182,44
93,181,19
175,176,82
27,78,7
173,175,94
167,176,83
85,91,29
26,44,31
131,149,15
103,172,45
143,151,24
51,89,2
143,150,51
38,143,22
26,43,24
43,183,15
26,183,79
31,183,9
1,177,127
65,70,15
183,185,49
57,183,19
164,184,11
47,65,51
47,182,43
26,189,7
165,187,5
165,188,3
62,75,129
46,182,25
186,187,29
163,179,148
26,47,8
80,188,27
188,190,24
65,69,14
75,153,13
164,193,155
184,191,144
175,192,67
66,189,3
4,187,18
1,165,14
1,5,158
190,194,185
2,177,23
2,3,17
165,177,4
157,195,102
38,162,18
11,152,64
131,162,21
120,129,85
187,190,287
3,190,32
2,188,8
17,165,9
3,188,15
123,150,35
9,120,246
177,184,121
68,148,43
196,197,11
143,162,9
135,142,119
20,95,108
177,194,96
187,198,120
141,147,141
174,199,115
26,41,6
71,191,155
76,95,363
47,57,14
2,164,100
46,70,48
133,142,146
172,178,6
69,189,5
81,141,29
26,69,5
19,69,22
66,182,71
182,185,20
188,200,34
23,143,7
143,197,21
47,189,6
31,189,26
26,31,6
31,69,7
81,125,45
143,196,165
26,185,20
125,145,40
42,65,16
41,185,10
5,165,5
138,143,80
70,182,39
156,197,47
201,202,34
5,184,138
45,70,36
1,194,122
13,148,16
126,197,68
42,46,6
25,189,6
65,189,7
5,191,288
46,47,10
165,193,9
201,203,9
69,182,24
42,69,8
46,69,49
182,189,1
19,182,19
205,206,3
1,164,115
204,205,424
19,70,21
5,164,152
81,158,97
23,197,75
147,158,132
34,181,36
19,66,31
19,65,14
14,199,162
164,200,12
56,148,9
56,68,10
206,208,216
139,197,15
4,17,69
201,207,25
81,121,18
131,138,14
202,207,193
81,133,10
19,57,47
57,70,21
201,209,40
140,210,203
46,189,4
136,140,22
18,25,121
211,212,47
201,213,9
213,214,7
140,142,112
65,182,73
177,187,28
67,163,126
19,189,12
150,156,70
126,150,28
213,221,226
218,219,16
217,218,47
216,218,13
217,219,41
216,219,21
216,217,34
21,116,34
215,220,37
201,215,12
25,42,40
209,221,247
29,108,32
142,147,55
201,222,23
201,216,25
31,57,17
222,223,45
120,137,59
81,137,43
151,197,75
29,55,10
31,66,26
66,69,11
209,217,8
214,223,65
216,223,501
220,224,144
208,212,146
214,216,577
203,219,3
201,219,38
150,197,33
31,65,32
29,106,26
218,222,166
167,173,51
213,219,93
124,195,112
146,210,22
142,210,56
125,195,125
125,147,238
207,213,140
43,47,23
31,43,21
43,57,25
18,183,52
84,85,12
186,194,172
57,69,18
6,63,64
220,222,256
3,225,9
5,71,118
2,71,67
216,220,46
212,226,87
203,204,252
214,220,64
186,188,32
201,221,40
217,224,356
16,68,93
121,125,19
64,99,45
73,109,25
216,222,31
80,225,15
123,143,14
149,197,19
149,150,120
123,131,26
123,156,17
23,150,48
129,136,23
25,183,39
19,183,49
42,183,16
211,217,136
163,166,86
18,57,26
81,210,86
14,179,15
169,179,27
81,120,50
44,57,7
179,199,20
67,179,61
43,66,25
103,178,11
72,179,295
206,207,13
198,225,10
133,137,103
202,206,315
125,157,23
19,185,33
134,136,50
75,100,8
25,41,23
41,183,13
127,138,15
9,130,69
81,140,35
202,226,19
141,210,37
3,193,139
40,53,30
147,210,133
137,142,38
7,95,19
205,227,113
131,181,9
150,181,1
81,142,42
143,149,19
2,186,21
150,162,31
167,192,85
82,91,11
10,157,185
2,191,76
31,45,52
114,115,53
3,191,28
165,191,6
2,165,30
3,165,3
81,145,27
191,225,15
81,129,15
201,217,54
3,200,34
13,179,17
164,188,95
31,44,7
164,194,23
4,225,16
45,189,7
3,5,35
15,148,13
201,223,71
194,200,20
164,187,13
134,135,4
125,134,15
24,180,106
28,153,5
134,147,85
127,156,44
125,137,50
137,147,12
25,44,5
10,147,30
205,224,42
151,180,33
20,152,6
40,106,26
4,188,75
5,190,95
160,170,41
105,111,70
7,96,3
2,184,23
165,184,6
11,95,16
201,206,9
31,182,14
105,132,19
184,225,17
41,182,31
41,45,24
39,52,12
1,190,242
76,114,224
165,225,18
120,125,26
11,114,35
11,76,19
215,226,8
29,112,30
29,107,16
72,199,85
76,94,5
107,111,5
94,114,6
120,130,83
6,76,20
125,210,30
5,194,67
41,69,26
101,158,522
25,69,8
105,109,48
102,135,188
101,141,97
101,147,112
5,225,21
130,136,12
25,65,3
102,142,238
126,180,42
134,210,19
211,219,95
8,115,1
8,76,125
6,96,8
3,187,109
5,177,57
10,101,308
101,142,61
135,158,240
9,124,20
131,197,20
163,199,49
121,195,144
9,125,17
219,224,13
102,133,95
6,152,2
101,135,58
45,66,97
145,147,33
30,105,45
145,210,43
131,196,6
18,31,11
14,174,24
3,164,37
138,196,4
113,132,28
46,66,92
136,145,58
42,57,32
184,194,89
124,147,16
102,158,48
119,199,73
201,224,28
121,145,14
71,225,12
207,217,12
190,225,7
211,221,81
136,210,75
138,197,136
9,136,43
41,189,9
24,197,29
215,219,203
207,220,28
8,87,122
81,101,166
198,200,72
184,190,13
177,225,6
148,175,38
2,194,25
71,194,14
124,137,59
87,152,4
33,91,3
191,194,23
18,185,67
3,194,28
213,223,21
1,3,41
208,217,61
213,217,14
127,151,9
194,225,12
213,220,9
220,223,26
213,216,12
24,143,41
221,223,47
26,65,9
138,180,85
169,199,42
186,190,158
217,221,40
169,174,35
134,146,105
87,96,38
204,220,54
205,220,49
18,26,115
68,192,55
212,217,11
219,221,53
9,145,110
92,150,13
150,171,6
19,47,7
118,170,16
138,156,13
102,137,99
34,92,40
191,193,70
193,225,15
31,47,9
219,220,30
44,189,3
1,193,68
116,228,4
95,114,250
34,93,1
156,162,44
17,187,45
6,87,75
