1 2 3
1 2 4
1 2 5
1 2 6
1 2 7
1 2 8
1 2 9
1 2 10
1 2 11
1 2 12
1 2 13
1 2 14
1 2 15
1 2 16
1 2 17
1 2 18
1 3 4
1 3 5
1 3 6
1 3 7
1 3 8
1 3 9
1 3 10
1 3 11
1 3 12
1 3 13
1 3 14
1 3 15
1 3 16
1 3 17
1 3 18
1 4 5
1 4 6
1 4 7
1 4 8
1 4 9
1 4 10
1 4 11
1 4 12
1 4 13
1 4 14
1 4 15
1 4 16
1 4 17
1 4 18
1 5 6
1 5 7
1 5 8
1 5 9
1 5 10
1 5 11
1 5 12
1 5 13
1 5 14
1 5 15
1 5 16
1 5 17
1 5 18
1 6 7
1 6 8
1 6 9
1 6 10
1 6 11
1 6 12
1 6 13
1 6 14
1 6 15
1 6 16
1 6 17
1 6 18
1 7 8
1 7 9
1 7 10
1 7 11
1 7 12
1 7 13
1 7 14
1 7 15
1 7 16
1 7 17
1 7 18
1 8 9
1 8 10
1 8 11
1 8 12
1 8 13
1 8 14
1 8 15
1 8 16
1 8 17
1 8 18
1 9 10
1 9 11
1 9 12
1 9 13
1 9 14
1 9 15
1 9 16
1 9 17
1 9 18
1 10 11
1 10 12
1 10 13
1 10 14
1 10 15
1 10 16
1 10 17
1 10 18
1 11 12
1 11 13
1 11 14
1 11 15
1 11 16
1 11 17
1 11 18
1 12 13
1 12 14
1 12 15
1 12 16
1 12 17
1 12 18
1 13 14
1 13 15
1 13 16
1 13 17
1 13 18
1 14 15
1 14 16
1 14 17
1 14 18
1 15 16
1 15 17
1 15 18
1 16 17
1 16 18
1 17 18
2 3 4
2 3 5
2 3 6
2 3 7
2 3 8
2 3 9
2 3 10
2 3 11
2 3 12
2 3 13
2 3 14
2 3 15
2 3 16
2 3 17
2 3 18
2 4 5
2 4 6
2 4 7
2 4 8
2 4 9
2 4 10
2 4 11
2 4 12
2 4 13
2 4 14
2 4 15
2 4 16
2 4 17
2 4 18
2 5 6
2 5 7
2 5 8
2 5 9
2 5 10
2 5 11
2 5 12
2 5 13
2 5 14
2 5 15
2 5 16
2 5 17
2 5 18
2 6 7
2 6 8
2 6 9
2 6 10
2 6 11
2 6 12
2 6 13
2 6 14
2 6 15
2 6 16
2 6 17
2 6 18
2 7 8
2 7 9
2 7 10
2 7 11
2 7 12
2 7 13
2 7 14
2 7 15
2 7 16
2 7 17
2 7 18
2 8 9
2 8 10
2 8 11
2 8 12
2 8 13
2 8 14
2 8 15
2 8 16
2 8 17
2 8 18
2 9 10
2 9 11
2 9 12
2 9 13
2 9 14
2 9 15
2 9 16
2 9 17
2 9 18
2 10 11
2 10 12
2 10 13
2 10 14
2 10 15
2 10 16
2 10 17
2 10 18
2 11 12
2 11 13
2 11 14
2 11 15
2 11 16
2 11 17
2 11 18
2 12 13
2 12 14
2 12 15
2 12 16
2 12 17
2 12 18
2 13 14
2 13 15
2 13 16
2 13 17
2 13 18
2 14 15
2 14 16
2 14 17
2 14 18
2 15 16
2 15 17
2 15 18
2 16 17
2 16 18
2 17 18
3 4 5
3 4 6
3 4 7
3 4 8
3 4 9
3 4 10
3 4 11
3 4 12
3 4 13
3 4 14
3 4 15
3 4 16
3 4 17
3 4 18
3 5 6
3 5 7
3 5 8
3 5 9
3 5 10
3 5 11
3 5 12
3 5 13
3 5 14
3 5 15
3 5 16
3 5 17
3 5 18
3 6 7
3 6 8
3 6 9
3 6 10
3 6 11
3 6 12
3 6 13
3 6 14
3 6 15
3 6 16
3 6 17
3 6 18
3 7 8
3 7 9
3 7 10
3 7 11
3 7 12
3 7 13
3 7 14
3 7 15
3 7 16
3 7 17
3 7 18
3 8 9
3 8 10
3 8 11
3 8 12
3 8 13
3 8 14
3 8 15
3 8 16
3 8 17
3 8 18
3 9 10
3 9 11
3 9 12
3 9 13
3 9 14
3 9 15
3 9 16
3 9 17
3 9 18
3 10 11
3 10 12
3 10 13
3 10 14
3 10 15
3 10 16
3 10 17
3 10 18
3 11 12
3 11 13
3 11 14
3 11 15
3 11 16
3 11 17
3 11 18
3 12 13
3 12 14
3 12 15
3 12 16
3 12 17
3 12 18
3 13 14
3 13 15
3 13 16
3 13 17
3 13 18
3 14 15
3 14 16
3 14 17
3 14 18
3 15 16
3 15 17
3 15 18
